INFO 2022-04-18 21:56:12,465 Watching for file changes with StatReloader
DEBUG 2022-04-18 21:56:12,466 Waiting for apps ready_event.
DEBUG 2022-04-18 21:56:12,569 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-04-18 21:56:12,579 Watching dir /Users/i1077/Project/env/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2022-04-18 21:56:12,579 Watching dir /Users/i1077/Project/Borrower/locale with glob **/*.mo.
DEBUG 2022-04-18 21:56:12,579 Watching dir /Users/i1077/Project/env/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2022-04-18 21:56:12,579 Watching dir /Users/i1077/Project/env/lib/python3.9/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2022-04-18 21:56:12,579 Watching dir /Users/i1077/Project/Borrower/core/locale with glob **/*.mo.
DEBUG 2022-04-18 21:56:12,595 (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2022-04-18 21:56:12,597 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2022-04-18 21:56:12,660 File /Users/i1077/Project/env/lib/python3.9/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1650184342.5402067
DEBUG 2022-04-18 21:56:12,660 File /Users/i1077/Project/env/lib/python3.9/site-packages/django/db/migrations/operations/base.py first seen with mtime 1650184342.5313747
DEBUG 2022-04-18 21:56:12,660 File /Users/i1077/Project/env/lib/python3.9/site-packages/django/core/handlers/__init__.py first seen with mtime 1650184342.4882507
DEBUG 2022-04-18 21:56:12,660 File /usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_scproxy.cpython-39-darwin.so first seen with mtime 1631533280.6393971
DEBUG 2022-04-18 21:56:12,660 File /Users/i1077/Project/env/lib/python3.9/site-packages/django/utils/version.py first seen with mtime 1650184342.6010692
DEBUG 2022-04-18 21:56:12,660 File /usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/unittest/main.py first seen with mtime 1630351153.0
DEBUG 2022-04-18 21:56:12,660 File /usr/local/Cellar/python@3.9/3.9.7/Frameworks/Python.framework/Versions/3.9/lib/python3.9/urllib/parse.py first seen with mtime 1630351153.0
